,victim_age,victim_gender,victim_race,City,State,criminal_charges,victim_armed,alleged_weapon,victim_fleeing,year
1054,22,Male,black,Tampa,FL,No known charges,Allegedly Armed,knife,not fleeing,2019
1053,34,Male,black,Anaheim,CA,No known charges,Unclear,undetermined,,2019
7369,22,Male,black,New Iberia,LA,No known charges,Unclear,undetermined,,2014
7370,21,Male,black,Alexander City,AL,No known charges,Unclear,undetermined,,2014
8232,34,Male,black,Fort Worth,TX,No known charges,Unarmed,no object,,2013
1050,22,Male,black,Jacksonville,FL,No known charges,Allegedly Armed,gun,car,2019
8230,25,Male,black,Pacoima,CA,No known charges,Allegedly Armed,knife,,2013
372,,Male,black,Houston,TX,No known charges,Allegedly Armed,gun,not fleeing,2020
1049,65,Male,black,Detroit,MI,No known charges,Allegedly Armed,gun,not fleeing,2019
7374,23,Male,black,Los Angeles,CA,No known charges,Unclear,undetermined,,2014
7375,,Male,black,Houston,TX,No known charges,Allegedly Armed,gun,,2014
373,35,Male,black,Milwaukee,WI,No known charges,Allegedly Armed,gun,,2020
7379,52,Male,black,Little Rock,AR,No known charges,Unclear,cane,,2014
1021,46,Male,black,Hattiesburg,MS,No known charges,Unclear,unknown weapon,other,2019
374,27,Male,black,St. Louis,MO,No known charges,Unarmed,no object,,2020
7384,41,Male,black,Brandon,FL,No known charges,Allegedly Armed,knife,,2014
384,31,Male,black,Kansas City,MO,No known charges,Allegedly Armed,gun,foot,2020
1035,28,Male,black,Lenoir,NC,No known charges,Allegedly Armed,gun,other,2019
1034,25,Male,black,Tempe,AZ,No known charges,Allegedly Armed,Taser,not fleeing,2019
386,32,Male,black,Sheboygan,WI,No known charges,Allegedly Armed,knife,not fleeing,2020
8221,46,Male,black,Inglewood,CA,No known charges,Allegedly Armed,machete,,2013
7397,23,Male,black,San Antonio,TX,No known charges,Unclear,undetermined,,2014
1030,21,Male,black,Brentwood,NY,No known charges,Allegedly Armed,gun,foot,2019
7398,27,Male,black,Hialeah,FL,No known charges,Unarmed,no object,,2014
7407,37,Male,black,Cincinnati,OH,No known charges,Allegedly Armed,gun,,2014
1027,61,Male,black,Winston-Salem,NC,No known charges,Allegedly Armed,gun,not fleeing,2019
8220,30,Male,black,Blytheville,AR,No known charges,Allegedly Armed,knife,,2013
8218,50,Male,black,Los Angeles,CA,No known charges,Allegedly Armed,gun,,2013
8222,30,Male,black,Uniondale,NY,No known charges,Allegedly Armed,gun,,2013
7452,28,Male,black,Delray Beach,FL,No known charges,Unarmed,no object,,2014
409,31,Male,black,San Bernardino,CA,No known charges,Allegedly Armed,gun,,2020
990,37,Male,black,Chesterfield,MO,No known charges,Vehicle,vehicle,car,2019
949,49,Male,black,Miami Beach,FL,No known charges,Allegedly Armed,knife,,2020
7509,30,Male,black,Fort Pierce,FL,No known charges,Allegedly Armed,gun,,2014
7510,24,Male,black,Baltimore,MD,No known charges,Allegedly Armed,gun,,2014
944,29,Male,black,Gary,IN,No known charges,Allegedly Armed,gun,not fleeing,2020
7513,50,Male,black,New York,NY,No known charges,Unarmed,no object,,2014
942,55,Male,black,Cocoa,FL,No known charges,Allegedly Armed,knife,not fleeing,2020
438,27,Male,black,Atlanta,GA,No known charges,Allegedly Armed,Taser,foot,2020
940,47,Male,black,Lawrenceville,GA,No known charges,Unclear,chair,not fleeing,2020
439,23,Male,black,Crown Point,IN,No known charges,Allegedly Armed,gun,car,2020
440,63,Male,black,Lancaster,CA,No known charges,Unarmed,no object,not fleeing,2020
938,19,Male,black,West Haven,CT,No known charges,Allegedly Armed,knife,car,2020
441,32,Male,black,Tunnel Hill,GA,No known charges,Vehicle,vehicle,,2020
8168,33,Male,black,South Bend,IN,No known charges,Allegedly Armed,knife,,2013
7505,58,Male,black,Los Angeles,CA,No known charges,Unclear,undetermined,,2014
7530,21,Male,black,Oklahoma City,OK,No known charges,Allegedly Armed,gun,,2014
7537,33,Male,black,Crestview,FL,No known charges,Allegedly Armed,gun,,2014
7538,20,Male,black,Redford Charter Township,MI,No known charges,Unclear,undetermined,,2014
930,42,Male,black,Chesapeake,VA,No known charges,Allegedly Armed,unknown weapon,,2020
8161,22,Male,black,Flint,MI,No known charges,Allegedly Armed,gun,,2013
7540,20,Male,black,Riverside,CA,No known charges,Allegedly Armed,gun,,2013
7541,34,Male,black,Henderson,NC,No known charges,Vehicle,vehicle,,2013
7543,43,Male,black,Harrisburg,PA,No known charges,Vehicle,vehicle ,,2013
7545,34,Male,black,Breaux Bridge,LA,Charged,Unarmed,no object,,2013
450,38,Male,black,Orlando,FL,No known charges,Allegedly Armed,gun,not fleeing,2020
8156,46,Female,black,St. Albans,NY,No known charges,Unarmed,no object,,2013
7551,24,Male,black,Palatka,FL,No known charges,Allegedly Armed,gun,,2013
8145,19,Male,black,Perris,CA,No known charges,Allegedly Armed,gun,,2013
8141,24,Male,black,San Angelo,TX,No known charges,Unarmed,no object,,2013
933,19,Male,black,Powder Springs,GA,No known charges,Unclear,undetermined,car,2020
951,47,Male,black,Bainbridge,GA,No known charges,Allegedly Armed,gun,not fleeing,2020
7497,19,Male,black,Ardmore,OK,No known charges,Allegedly Armed,gun,,2014
954,37,Male,black,New York,NY,No known charges,Allegedly Armed,gun,foot,2020
419,43,Male,black,Giddings,TX,No known charges,Allegedly Armed,knife,not fleeing,2020
989,23,Male,black,Federal Way,WA,No known charges,Allegedly Armed,gun,not fleeing,2019
988,57,Male,black,Omaha,NE,No known charges,Allegedly Armed,gun,not fleeing,2019
7458,25,Male,black,Hope Mills,NC,No known charges,Vehicle,vehicle ,,2014
8188,32,Male,black,St. Louis,MO,Charged,Unclear,undetermined,,2013
7460,31,Male,black,Kingstree,SC,No known charges,Allegedly Armed,gun,,2014
8185,34,Male,black,Washington,DC,No known charges,Allegedly Armed,unknown weapon,,2013
8184,22,Male,black,Oakland,CA,No known charges,Allegedly Armed,gun,,2013
7465,19,Male,black,Milwaukee,WI,No known charges,Allegedly Armed,gun,,2014
977,26,Male,black,North Las Vegas,NV,No known charges,Vehicle,vehicle,car,2020
7467,25,Male,black,Gaithersburg,MD,No known charges,Allegedly Armed,knife,,2014
8182,22,Male,black,Philadelphia,PA,No known charges,Allegedly Armed,gun,,2013
975,25,Male,black,Chicago,IL,No known charges,Allegedly Armed,knife,not fleeing,2020
974,53,Female,black,Spring Valley,NY,No known charges,Unarmed,no object,,2020
8178,30,Male,black,Atlanta,GA,No known charges,Allegedly Armed,gun,,2013
431,31,Male,black,Rosamond,CA,No known charges,Allegedly Armed,gun,not fleeing,2020
972,17,Male,black,Jacksonville,FL,No known charges,Allegedly Armed,gun,car,2020
971,18,Male,black,Sparks,NV,No known charges,Allegedly Armed,gun,car,2020
7472,56,Male,black,Penn Hills,PA,No known charges,Allegedly Armed,gun,,2014
432,24,Male,black,Beach Park,IL,No known charges,Allegedly Armed,gun,not fleeing,2020
433,27,Male,black,Phoenix,AZ,No known charges,Allegedly Armed,gun,not fleeing,2020
968,27,Male,black,Milford,DE,No known charges,Allegedly Armed,knife,not fleeing,2020
7475,21,Male,black,Federal Heights,CO,No known charges,Allegedly Armed,gun,,2014
7481,,Male,black,Houston,TX,No known charges,Allegedly Armed,gun,,2014
7484,31,Male,black,Kenner,LA,No known charges,Vehicle,vehicle ,,2014
8173,59,Male,black,Selma,AL,No known charges,Unarmed,no object,,2013
8172,28,Female,black,Selma,AL,No known charges,Unarmed,no object,,2013
7495,26,Male,black,Houston,TX,No known charges,Unarmed,no object,,2014
955,42,Male,black,Philadelphia,PA,No known charges,Allegedly Armed,gun,not fleeing,2020
1055,24,Male,black,St. Louis,MO,No known charges,Allegedly Armed,gun,foot,2019
7367,31,Male,black,Sebring,FL,No known charges,Allegedly Armed,gun,,2014
7361,38,Male,black,North Las Vegas,NV,No known charges,Allegedly Armed,knife,,2014
368,31,Male,black,Monroe,LA,No known charges,Allegedly Armed,gun,not fleeing,2020
7198,,Male,black,Houston,TX,No known charges,Allegedly Armed,gun,,2014
1157,32,Male,black,Louisville,KY,No known charges,Allegedly Armed,gun,,2019
7199,25,Male,black,Jackson,MS,Charged,Unarmed,no object,,2014
7200,38,Male,black,Center,TX,No known charges,Vehicle,vehicle ,,2014
7203,50,Male,black,Albuquerque,NM,No known charges,Allegedly Armed,gun,,2014
7204,33,Male,black,Madison,WI,No known charges,Allegedly Armed,knife,,2014
7206,39,Male,black,Niles,MI,No known charges,Allegedly Armed,gun,,2014
7209,31,Male,black,Milwaukee,WI,No known charges,Allegedly Armed,baton,,2014
1147,38,Male,black,Vallejo,CA,No known charges,Unarmed,no object,,2019
8286,23,Male,black,Houston,TX,No known charges,Unclear,undetermined,,2013
7211,22,Male,black,Tabor City,NC,No known charges,Allegedly Armed,gun,,2014
302,30,Male,black,Houston,TX,No known charges,Allegedly Armed,gun,,2020
8277,20,Male,black,Fayetteville,NC,No known charges,Allegedly Armed,gun,,2013
294,30,Male,black,Ventnor City,NJ,No known charges,Unclear,bottle,not fleeing,2020
7221,43,Male,black,Natchez,MS,No known charges,Unarmed,no object,,2014
8274,55,Male,black,Los Angeles,CA,No known charges,Allegedly Armed,undetermined,,2013
7222,86,Male,black,Chicago,IL,No known charges,Allegedly Armed,gun,,2014
314,28,Male,black,Detroit,MI,No known charges,Allegedly Armed,sword,not fleeing,2020
1140,27,Male,black,Wilson,NC,No known charges,Unclear,undetermined,foot,2019
8272,22,Male,black,Fort Wayne,IN,No known charges,Allegedly Armed,gun,,2013
7224,20,Male,black,Meridian,MS,No known charges,Allegedly Armed,gun,,2014
8271,38,Male,black,Oklahoma City,OK,No known charges,Unarmed,no object,,2013
8268,21,Male,black,Orlando,FL,No known charges,Allegedly Armed,gun,,2013
7233,29,Male,black,Wilkinsburg,PA,No known charges,Allegedly Armed,gun,,2014
330,45,Male,black,Roxboro,NC,No known charges,Allegedly Armed,gun,not fleeing,2020
1134,33,Male,black,Charlotte,NC,No known charges,Allegedly Armed,gun,not fleeing,2019
1132,27,Male,black,Cleveland,OH,No known charges,Allegedly Armed,gun,foot,2019
332,,Male,black,Detroit,MI,No known charges,Allegedly Armed,gun,other,2020
8275,26,Male,black,Detroit,MI,Charged,Unclear,undetermined,,2013
8293,19,Male,black,Fort Wayne,IN,No known charges,Allegedly Armed,gun,,2013
1159,37,Male,black,Tahlequah,OK,No known charges,Allegedly Armed,gun,not fleeing,2019
291,22,Male,black,Orlando,FL,No known charges,Allegedly Armed,gun,foot,2020
1189,25,Male,black,Carmichael,CA,No known charges,Allegedly Armed,gun,not fleeing,2019
1188,39,Male,black,Madison,AL,No known charges,Allegedly Armed,gun,not fleeing,2019
7160,24,Male,black,Kansas City,KS,No known charges,Allegedly Armed,gun,,2014
7162,45,Male,black,New York,NY,No known charges,Allegedly Armed,gun,,2014
8308,28,Male,black,Memphis,TN,No known charges,Vehicle,vehicle ,,2013
8305,25,Male,black,St. Louis,MO,No known charges,Allegedly Armed,gun,,2013
1184,24,Male,black,Baltimore,MD,No known charges,Allegedly Armed,gun,not fleeing,2019
7171,21,Male,black,Universal City,CA,No known charges,Allegedly Armed,gun,,2014
7173,39,Male,black,Tallahassee,FL,No known charges,Allegedly Armed,gun,,2014
7175,32,Male,black,Imperial,CA,No known charges,Unarmed,no object,,2014
7177,37,Male,black,Chicago,IL,No known charges,Allegedly Armed,gun,,2014
7178,32,Male,black,Birmingham,AL,No known charges,Allegedly Armed,gun,,2014
8304,24,Male,black,Milwaukee,WI,No known charges,Allegedly Armed,knife,,2013
7179,34,Male,black,Columbus,OH,No known charges,Allegedly Armed,knife,,2014
8303,18,Male,black,Little Rock,AR,No known charges,Allegedly Armed,gun,,2013
7185,21,Male,black,Birmingham,AL,No known charges,Vehicle,vehicle,,2014
7186,34,Male,black,Hallandale Beach,FL,No known charges,Unarmed,no object,,2014
8300,18,Male,black,Atascocita,TX,No known charges,Allegedly Armed,gun,,2013
1170,32,Male,black,Phoenix,AZ,No known charges,Allegedly Armed,gun,not fleeing,2019
8299,24,Male,black,Athens,CA,No known charges,Vehicle,vehicle ,,2013
286,,Male,black,Bossier City,LA,No known charges,Allegedly Armed,knife,not fleeing,2020
8297,25,Male,black,Frog,TX,No known charges,Allegedly Armed,gun,,2013
288,60,Male,black,Sylvania,GA,Charged,Vehicle,vehicle,,2020
7192,19,Male,black,Baltimore,MD,No known charges,Unarmed,no object,,2014
1165,48,Male,black,Cleveland,OH,No known charges,Allegedly Armed,gun,not fleeing,2019
8296,31,Male,black,Georgetown,KY,No known charges,Allegedly Armed,gun,,2013
7194,23,Male,black,Chicago,IL,No known charges,Unarmed,no object,,2014
7196,93,Female,black,Hearne,TX,No known charges,Allegedly Armed,gun,,2014
1160,31,Male,black,Fayetteville,NC,No known charges,Allegedly Armed,gun,not fleeing,2019
8263,16,Male,black,Chicago,IL,No known charges,Allegedly Armed,gun,,2013
924,20,Male,black,Jacksonville,FL,No known charges,Allegedly Armed,gun,foot,2020
1128,28,Male,black,Mesa,WA,No known charges,Allegedly Armed,gun,car,2019
7250,23,Male,black,Fenton,MO,No known charges,Allegedly Armed,gun,,2014
1088,28,Male,black,Temple,TX,Charged,Unarmed,no object,not fleeing,2019
1085,26,Male,black,Kansas City,MO,Charged,Allegedly Armed,gun,not fleeing,2019
8236,44,Male,black,Springfield,MA,No known charges,Allegedly Armed,gun,,2013
7321,25,Male,black,Phoenix,AZ,No known charges,Unarmed,no object,,2014
361,20,Male,black,Detroit,MI,No known charges,Allegedly Armed,gun,not fleeing,2020
1083,31,Male,black,Syracuse,NY,No known charges,Allegedly Armed,gun,not fleeing,2019
8235,24,Male,black,Clintonville,OH,No known charges,Unclear,undetermined,,2013
1082,58,Male,black,Avon,CO,No known charges,Allegedly Armed,gun,car,2019
7324,18,Male,black,Providence,RI,No known charges,Allegedly Armed,gun,,2014
1080,31,Male,black,Marshall,TX,No known charges,Vehicle,vehicle,foot,2019
364,49,Male,black,San Diego,CA,No known charges,Unarmed,toy weapon,not fleeing,2020
8234,21,Female,black,Clintonville,OH,No known charges,Unclear,undetermined,,2013
7326,21,Male,black,Jacksonville,FL,No known charges,Allegedly Armed,gun,,2014
1089,21,Male,black,Daytona Beach,FL,No known charges,Allegedly Armed,gun,foot,2019
7328,29,Male,black,Aberdeen,MD,No known charges,Vehicle,vehicle ,,2014
1077,41,Male,black,Miramar,FL,No known charges,Allegedly Armed,gun,car,2019
1076,41,Male,black,Miramar,FL,No known charges,Allegedly Armed,gun,car,2019
1075,17,Male,black,Bentonville,AR,No known charges,Allegedly Armed,gun,not fleeing,2019
7330,51,Male,black,Nashville,TN,No known charges,Allegedly Armed,gun,,2014
1070,47,Male,black,Independence,LA,No known charges,Allegedly Armed,gun,not fleeing,2019
7339,19,Male,black,Washington,DC,No known charges,Allegedly Armed,gun,,2014
7340,32,Male,black,Salisbury,MD,No known charges,Vehicle,vehicle,,2014
7341,26,Male,black,Houston,TX,No known charges,Unarmed,no object,,2014
1066,23,Male,black,Beloit,WI,No known charges,Allegedly Armed,gun,car,2019
1065,47,Male,black,Jersey City,NJ,No known charges,Allegedly Armed,gun,not fleeing,2019
1064,50,Female,black,Jersey City,NJ,No known charges,Allegedly Armed,gun,not fleeing,2019
1063,31,Male,black,Andrews,SC,No known charges,Allegedly Armed,gun,,2019
7348,47,Male,black,Lawton,OK,No known charges,Allegedly Armed,gun,,2014
367,36,Male,black,Paterson,NJ,No known charges,Allegedly Armed,gun,not fleeing,2020
1090,68,Male,black,Morrow,GA,No known charges,Allegedly Armed,gun,not fleeing,2019
7317,27,Male,black,Tulsa,OK,No known charges,Unarmed,no object,,2014
7316,30,Male,black,Albuquerque,NM,No known charges,Allegedly Armed,gun,,2014
7252,48,Male,black,Hammond,LA,No known charges,Allegedly Armed,knife,,2014
338,51,Male,black,Baton Rouge,LA,No known charges,Allegedly Armed,gun,not fleeing,2020
7260,20,Male,black,Harvey,IL,No known charges,Vehicle,vehicle ,,2014
1121,32,Male,black,Chicago,IL,No known charges,Allegedly Armed,gun,,2019
1119,18,Male,black,Henderson,NV,No known charges,Allegedly Armed,gun,,2019
340,24,Male,black,Chicago Heights,IL,No known charges,Allegedly Armed,gun,foot,2020
1116,37,Male,black,Elizabethtown,NC,No known charges,Allegedly Armed,gun,not fleeing,2019
1115,28,Male,black,Chester,SC,No known charges,Allegedly Armed,gun,foot,2019
8259,37,Female,black,Baltimore,MD,No known charges,Unarmed,no object,,2013
7268,24,Male,black,East Point,GA,Charged,Unarmed,no object,,2014
8255,38,Male,black,Deland,FL,No known charges,Unarmed,no object,foot,2013
7269,34,Male,black,Owings Mills,MD,No known charges,Vehicle,vehicle ,,2014
7281,29,Male,black,Los Angeles,CA,No known charges,Allegedly Armed,gun,,2014
1110,22,Male,black,Hollywood,CA,No known charges,Allegedly Armed,vehicle and machete,foot,2019
8246,22,Male,black,Minneapolis,MN,No known charges,Unclear,undetermined,,2013
7283,31,Male,black,West Palm Beach,FL,No known charges,Allegedly Armed,gun,,2014
7287,38,Male,black,Boston,MA,No known charges,Allegedly Armed,knife,not fleeing,2014
7288,24,Male,black,District Heights,MD,No known charges,Allegedly Armed,gun,,2014
1105,40,Male,black,Mansfield,OH,No known charges,Allegedly Armed,sword,,2019
1104,31,Male,black,Tampa,FL,No known charges,Allegedly Armed,gun,other,2019
8243,38,Male,black,Trenton,NJ,No known charges,Unclear,undetermined,,2013
7296,22,Male,black,Lawrenceville,GA,No known charges,Allegedly Armed,gun,,2014
7300,20,Male,black,Columbus,GA,No known charges,Unclear,undetermined,,2014
7301,20,Male,black,Chicago,IL,No known charges,Allegedly Armed,gun,,2014
7305,25,Male,black,Louisville,KY,No known charges,Allegedly Armed,gun,,2014
353,17,Male,black,Austell,GA,No known charges,Allegedly Armed,gun,other,2020
7306,35,Male,black,New Bern,NC,No known charges,Allegedly Armed,gun,,2014
7309,27,Male,black,Atlantic City,NJ,No known charges,Allegedly Armed,gun,,2014
7314,20,Male,black,Salisbury,NC,No known charges,Allegedly Armed,gun,,2014
336,22,Male,black,Sacramento,CA,No known charges,Allegedly Armed,gun,not fleeing,2020
921,23,Male,black,Denton,TX,No known charges,Allegedly Armed,meat cleaver,not fleeing,2020
920,30,Male,black,Owings Mills,MD,No known charges,Unarmed,no object,,2020
7553,37,Male,black,Houston,TX,No known charges,Vehicle,vehicle,,2013
734,23,Male,black,Virginia Beach,VA,No known charges,Allegedly Armed,gun,not fleeing,2020
733,18,Male,black,Cuthbert,GA,No known charges,Allegedly Armed,gun,foot,2020
7792,19,Male,black,Asheville,NC,No known charges,Unarmed,no object,,2013
7796,34,Male,black,Citronelle,AL,No known charges,Allegedly Armed,gun,,2013
8013,39,Male,black,St. Petersburg,FL,No known charges,Allegedly Armed,gun,,2013
553,47,Male,black,Claxton,GA,No known charges,Unclear,rock,foot,2020
8012,19,Male,black,San Antonio,TX,No known charges,Unarmed,no object,,2013
8005,24,Male,black,Vacaville,CA,No known charges,Allegedly Armed,hammer and knife,,2013
7806,22,Male,black,Durham,NC,No known charges,Allegedly Armed,gun,,2013
8004,23,Male,black,Pembroke Pines,FL,No known charges,Allegedly Armed,gun,,2013
8003,44,Male,black,Baltimore,MD,No known charges,Unarmed,no object,,2013
7807,18,Male,black,St. Louis,MO,No known charges,Allegedly Armed,gun,,2013
561,48,Male,black,Houston,TX,No known charges,Allegedly Armed,Taser,not fleeing,2020
735,31,Male,black,Tallahassee,FL,No known charges,Unarmed,no object,other,2020
7814,24,Male,black,Indianapolis,IN,No known charges,Allegedly Armed,gun,,2013
564,19,Male,black,Indianapolis,IN,No known charges,Allegedly Armed,gun,not fleeing,2020
565,30,Male,black,Silver Spring,MD,No known charges,Allegedly Armed,knife,not fleeing,2020
8000,47,Male,black,Fairfield,CA,No known charges,Allegedly Armed,gun,,2013
711,26,Male,black,Newburgh,NY,No known charges,Allegedly Armed,gun,,2020
7821,26,Male,black,Durham,NC,No known charges,Allegedly Armed,gun,,2013
568,21,Male,black,Indianapolis,IN,No known charges,Allegedly Armed,gun,car,2020
7824,34,Male,black,Washington,DC,No known charges,Allegedly Armed,gun,,2013
7994,28,Male,black,Wilmington,DE,No known charges,Unarmed,no object,,2013
7825,39,Male,black,Columbia,SC,No known charges,Allegedly Armed,gun,,2013
7826,27,Male,black,Avondale,AZ,No known charges,Allegedly Armed,gun,,2013
704,38,Male,black,Baltimore,MD,No known charges,Allegedly Armed,gun,not fleeing,2020
7829,24,Male,black,Charlotte,NC,Charged,Unarmed,no object,,2013
7992,21,Male,black,Philadelphia,PA,No known charges,Allegedly Armed,gun,,2013
8002,42,Male,black,Alameda,CA,No known charges,Unclear,undetermined,,2013
8014,26,Male,black,Little Rock,AR,No known charges,Allegedly Armed,gun,,2013
737,61,Male,black,Iota,LA,No known charges,Allegedly Armed,gun,,2020
739,28,Male,black,Abilene,TX,No known charges,Allegedly Armed,knife,foot,2020
7746,40,Male,black,Baltimore,MD,No known charges,Vehicle,vehicle ,,2013
8027,36,Male,black,Loma,CO,No known charges,Allegedly Armed,gun,,2013
536,29,Male,black,Essex,MD,No known charges,Allegedly Armed,gun,not fleeing,2020
766,47,Male,black,Kansas City,MO,No known charges,Unarmed,no object,foot,2020
537,38,Male,black,Braeburn,TX,No known charges,Allegedly Armed,knife,not fleeing,2020
7752,26,Male,black,Eufaula,AL,No known charges,Vehicle,vehicle ,,2013
764,26,Female,black,Louisville,KY,Charged,Unarmed,no object,not fleeing,2020
7753,32,Male,black,Memphis,TN,No known charges,Allegedly Armed,gun,,2013
8024,27,Male,black,Reno,NV,No known charges,Allegedly Armed,gun,,2013
7759,16,Male,black,Fayetteville,NC,No known charges,Allegedly Armed,gun,,2013
7760,30,Male,black,Wilmington,NC,No known charges,Unclear,undetermined,,2013
7761,32,Male,black,Lorain,OH,No known charges,Unarmed,no object,,2013
543,30,Male,black,Houston,TX,No known charges,Unarmed,toy weapon,not fleeing,2020
7766,51,Male,black,James Island,SC,No known charges,Allegedly Armed,knife,,2013
7772,43,Male,black,Waycross,GA,No known charges,Allegedly Armed,unknown weapon,,2013
7776,49,Male,black,Los Angeles,CA,No known charges,Unclear,wooden stick,,2013
752,48,Male,black,Syracuse,NY,No known charges,Allegedly Armed,knife,,2020
7779,28,Male,black,Posen,IL,No known charges,Unclear,undetermined,,2013
7781,25,Male,black,St. Louis,MO,No known charges,Allegedly Armed,gun,,2013
7783,43,Male,black,Waycross,GA,No known charges,Unclear,undetermined,,2013
7784,29,Male,black,Cleveland,OH,No known charges,Unarmed,no object,,2013
8021,24,Male,black,Oklahoma City,OK,No known charges,Allegedly Armed,gun,,2013
7786,24,Male,black,Irvington,NJ,No known charges,Allegedly Armed,gun,,2013
8020,26,Male,black,Riverside,CA,No known charges,Allegedly Armed,gun,,2013
548,24,Male,black,Raleigh,NC,No known charges,Allegedly Armed,gun,foot,2020
745,35,Male,black,Webster City,IA,No known charges,Allegedly Armed,gun,not fleeing,2020
7787,34,Female,black,Washington,DC,No known charges,Vehicle,vehicle ,,2013
742,39,Male,black,Atlanta,GA,No known charges,Allegedly Armed,gun,foot,2020
7788,39,Male,black,Calverton,MD,No known charges,Unarmed,no object,,2013
7834,31,Male,black,Annapolis,MD,No known charges,Allegedly Armed,knife,,2013
7745,33,Male,black,Columbia,SC,No known charges,Vehicle,vehicle ,,2013
572,23,Male,black,Webster Groves,MO,No known charges,Allegedly Armed,gun,not fleeing,2020
7987,29,Male,black,Middle Island,NY,No known charges,Unarmed,no object,,2013
7908,22,Male,black,Charleston,SC,No known charges,Allegedly Armed,gun,,2013
7909,39,Male,black,Bakersfield,CA,No known charges,Unarmed,no object,,2013
7972,29,Male,black,Hamilton,AL,No known charges,Allegedly Armed,gun,,2013
7916,74,Male,black,Vermont Square,CA,No known charges,Unclear,undetermined,,2013
646,39,Male,black,Augusta,GA,No known charges,Allegedly Armed,gun,not fleeing,2020
7920,23,Male,black,Trenton,NJ,No known charges,Allegedly Armed,gun,,2013
7968,,Male,black,Winfield,AL,No known charges,Allegedly Armed,gun,,2013
644,31,Male,black,Lubbock,TX,No known charges,Vehicle,vehicle,car,2020
7927,23,Male,black,Baltimore,MD,No known charges,Vehicle,vehicle ,,2013
7967,37,Male,black,New Orleans,LA,No known charges,Unarmed,no object,,2013
641,30,Male,black,Daphne,AL,No known charges,Allegedly Armed,gun,not fleeing,2020
598,24,Male,black,Columbia City,WA,No known charges,Unarmed,no object,foot,2020
640,33,Male,black,San Leandro,CA,Charged,Allegedly Armed,baseball bat,not fleeing,2020
7902,52,Male,black,Troy,OH,No known charges,Allegedly Armed,gun,,2013
7933,31,Male,black,Seattle,WA,No known charges,Allegedly Armed,gun,,2013
602,27,Male,black,Jeffersonville,IN,No known charges,Allegedly Armed,gun,not fleeing,2020
635,28,Male,black,Colorado Springs,CO,No known charges,Allegedly Armed,gun,not fleeing,2020
633,25,Male,black,Milwaukee,WI,Charged,Unarmed,no object,,2020
7937,44,Male,black,Poplar Grove,IL,No known charges,Allegedly Armed,gun,,2013
7943,23,Male,black,Hammond,IN,Charged,Unarmed,no object,,2013
629,24,Male,black,Las Vegas,NV,No known charges,Allegedly Armed,gun,car,2020
7961,33,Male,black,Fort Lauderdale,FL,Charged,Unarmed,toy weapon,,2013
606,26,Male,black,Tampa,FL,No known charges,Allegedly Armed,gun,,2020
7946,22,Male,black,Indianapolis,IN,No known charges,Unarmed,no object,,2013
627,40,Male,black,Florence,SC,No known charges,Allegedly Armed,gun,not fleeing,2020
7947,21,Male,black,Boston,MA,No known charges,Allegedly Armed,gun,not fleeing,2013
623,35,Male,black,Missouri City,TX,No known charges,Unarmed,toy weapon,foot,2020
7956,14,Male,black,Bronx,NY,No known charges,Allegedly Armed,gun,,2013
7936,23,Male,black,Springfield,MA,No known charges,Unclear,undetermined,,2013
591,32,Male,black,Little Rock,AR,No known charges,Allegedly Armed,gun,not fleeing,2020
7901,70,Male,black,Los Angeles,CA,No known charges,Allegedly Armed,gun,,2013
590,21,Male,black,Denver,CO,No known charges,Allegedly Armed,gun,other,2020
7840,107,Male,black,Pine Bluff,AR,No known charges,Allegedly Armed,gun,,2013
7841,28,Male,black,Chicago,IL,No known charges,Unarmed,no object,,2013
7845,37,Male,black,Mobile,AL,No known charges,Allegedly Armed,taser,,2013
7847,24,Male,black,Tampa,FL,No known charges,Allegedly Armed,gun,,2013
7850,30,Male,black,Lynn,MA,No known charges,Unclear,undetermined,,2013
7851,36,Male,black,Mobile,AL,No known charges,Allegedly Armed,gun,,2013
574,21,Male,black,St. Cloud,FL,No known charges,Allegedly Armed,knife,foot,2020
7852,29,Male,black,Houston,TX,No known charges,Allegedly Armed,gun,,2013
7853,45,Male,black,Atlanta,GA,No known charges,Allegedly Armed,gun,,2013
684,44,Male,black,Shreveport,LA,Charged,Unarmed,no object,not fleeing,2020
576,21,Male,black,Muskogee,OK,No known charges,Allegedly Armed,gun,foot,2020
682,44,Male,black,Refugio,TX,No known charges,Allegedly Armed,gun,not fleeing,2020
7855,25,Male,black,Baltimore,MD,No known charges,Allegedly Armed,gun,,2013
7984,32,Male,black,Austin,TX,Charged,Unarmed,no object,,2013
678,33,Male,black,Knoxville,TN,No known charges,Allegedly Armed,knife,not fleeing,2020
676,17,Male,black,Columbia,SC,No known charges,Allegedly Armed,gun,foot,2020
7869,28,Male,black,Chicago,IL,No known charges,Unclear,undetermined,,2013
7977,24,Male,black,Kansas City,MO,No known charges,Unarmed,no object,,2013
672,19,Male,black,Colonial Heights,VA,No known charges,Allegedly Armed,gun,foot,2020
7974,32,Male,black,Baton Rouge,LA,No known charges,Vehicle,vehicle ,,2013
670,22,Male,black,Cleveland,OH,No known charges,Vehicle,vehicle,,2020
669,31,Male,black,Pottstown,PA,No known charges,Allegedly Armed,gun,not fleeing,2020
668,43,Female,black,Birmingham,AL,Charged,Unarmed,no object,,2020
