,victim_age,victim_gender,victim_race,date,City,State,criminal_charges,victim_armed,alleged_weapon,victim_fleeing
8340,29,Male,hispanic,2013-04-13,Phoenix,AZ,No known charges,Allegedly Armed,gun,
3806,30,Male,hispanic,2017-06-16,Rialto,CA,No known charges,Allegedly Armed,gun,not fleeing
4167,26,Male,hispanic,2017-02-12,Goleta,CA,No known charges,Allegedly Armed,knife,foot
8352,25,Male,hispanic,2013-04-09,Lynwood,CA,No known charges,Unclear,undetermined,
8001,29,Male,hispanic,2013-07-19,Whittier,CA,No known charges,Unclear,undetermined,
4588,28,Male,hispanic,2016-09-28,Valdosta,GA,No known charges,Allegedly Armed,knife,not fleeing
8577,50,Male,hispanic,2013-01-13,Santa Maria,CA,No known charges,Allegedly Armed,knife,
8291,21,Male,hispanic,2013-04-28,Long Beach,CA,No known charges,Allegedly Armed,gun,
3821,63,Male,hispanic,2017-06-12,Plano,TX,No known charges,Allegedly Armed,gun,not fleeing
4091,24,Male,hispanic,2017-03-09,Santa Clara,CA,No known charges,Allegedly Armed,knife,not fleeing
8285,34,Male,hispanic,2013-04-29,Orlando,FL,No known charges,Unarmed,toy weapon,
3796,28,Male,hispanic,2017-06-20,Las Vegas,NV,No known charges,Allegedly Armed,knife,not fleeing
8336,25,Male,hispanic,2013-04-17,Three Rivers,TX,No known charges,Allegedly Armed,taser,
4599,30,Male,hispanic,2016-09-23,San Antonio,TX,No known charges,Allegedly Armed,gun,foot
3792,36,Male,hispanic,2017-06-20,South Gate,CA,No known charges,Unarmed,toy weapon,other
4632,32,Male,hispanic,2016-09-09,West Memphis,AR,No known charges,Allegedly Armed,gun,not fleeing
3778,36,Male,hispanic,2017-06-25,Rowe,NM,No known charges,Allegedly Armed,gun,not fleeing
7975,39,Male,hispanic,2013-07-28,Chicago,IL,No known charges,Allegedly Armed,knife,
8601,35,Male,hispanic,2013-01-07,Phoenix,AZ,No known charges,Vehicle,vehicle ,
7978,44,Male,hispanic,2013-07-28,Phoenix,AZ,No known charges,Unarmed,no object,
4627,25,Male,hispanic,2016-09-12,Colton,CA,No known charges,Unclear,undetermined,car
7980,42,Male,hispanic,2013-07-27,Hialeah,FL,No known charges,Allegedly Armed,gun,
7983,33,Male,hispanic,2013-07-27,Durham,NC,No known charges,Allegedly Armed,knife,
4621,32,Male,hispanic,2016-09-15,Phoenix,AZ,No known charges,Allegedly Armed,gun,other
7985,30,Male,hispanic,2013-07-26,Salinas,CA,No known charges,Allegedly Armed,gun,
3787,34,Male,hispanic,2017-06-23,Phoenix,AZ,No known charges,Vehicle,vehicle,car
3788,20,Male,hispanic,2017-06-22,Los Angeles,CA,No known charges,Allegedly Armed,gun,not fleeing
7986,42,Male,hispanic,2013-07-25,Compton,CA,No known charges,Unclear,undetermined,
4156,48,Male,hispanic,2017-02-16,San Antonio,TX,No known charges,Allegedly Armed,gun,not fleeing
4157,55,Male,hispanic,2017-02-15,Newman,CA,No known charges,Unclear,undetermined,not fleeing
3789,17,Male,hispanic,2017-06-22,Palmdale,CA,No known charges,Unarmed,no object,not fleeing
8583,21,Male,hispanic,2013-01-12,San Diego,CA,No known charges,Vehicle,vehicle ,
4104,34,Male,hispanic,2017-03-02,San Marcos,CA,No known charges,Unclear,baseball bat,not fleeing
3791,37,Male,hispanic,2017-06-21,Millerton,OK,No known charges,Allegedly Armed,knife,not fleeing
4057,45,Male,hispanic,2017-03-19,Deland,FL,No known charges,Allegedly Armed,gun,car
3857,45,Male,hispanic,2017-06-02,Albuquerque,NM,No known charges,Unclear,screwdriver,foot
8138,48,Male,hispanic,2013-06-08,Windsor,CA,No known charges,Allegedly Armed,knife,
4263,21,Female,hispanic,2017-01-18,Dallas,TX,Charged,Vehicle,vehicle,car
8414,26,Male,hispanic,2013-03-16,Chicago,IL,No known charges,Allegedly Armed,gun,
8416,28,Female,hispanic,2013-03-16,Pomona,CA,No known charges,Allegedly Armed,gun,
3933,26,Male,hispanic,2017-05-07,Buffalo,NY,No known charges,Unarmed,no object,foot
4264,16,Male,hispanic,2017-01-18,Salinas,CA,No known charges,Allegedly Armed,knife,not fleeing
8485,25,Male,hispanic,2013-02-22,San Antonio,TX,No known charges,Allegedly Armed,gun,
8480,25,Male,hispanic,2013-02-24,Los Angeles,CA,No known charges,Unarmed,no object,
8477,39,Male,hispanic,2013-02-25,Riverside,CA,No known charges,Vehicle,vehicle,
3994,16,Male,hispanic,2017-04-15,Fresno,CA,No known charges,Unarmed,no object,foot
8162,25,Male,hispanic,2013-06-04,San Jacinto,CA,No known charges,Unclear,undetermined,
4373,30,Male,hispanic,2016-12-11,Laredo,TX,No known charges,Allegedly Armed,knife,not fleeing
4370,73,Male,hispanic,2016-12-12,Bakersfield,CA,No known charges,Unarmed,no object,not fleeing
3940,54,Female,hispanic,2017-05-04,Katy,TX,No known charges,Allegedly Armed,gun,not fleeing
8165,25,Male,hispanic,2013-06-03,Huron,CA,No known charges,Allegedly Armed,gun,
3941,27,Male,hispanic,2017-05-04,Whittier,CA,No known charges,Unarmed,no object,foot
4268,39,Male,hispanic,2017-01-17,Twentynine Palms,CA,No known charges,Allegedly Armed,gun,not fleeing
4260,44,Male,hispanic,2017-01-19,Fritch,TX,No known charges,Allegedly Armed,gun,foot
4270,46,Male,hispanic,2017-01-17,Little Elm,TX,No known charges,Allegedly Armed,gun,not fleeing
8224,44,Male,hispanic,2013-05-17,Montebello,CA,No known charges,Allegedly Armed,probe,
8487,44,Male,hispanic,2013-02-21,Allentown,PA,No known charges,Allegedly Armed,machete,
8409,32,Male,hispanic,2013-03-18,Houston,TX,No known charges,Allegedly Armed,gun,
8410,27,Male,hispanic,2013-03-18,San Jose,CA,No known charges,Vehicle,vehicle,
4418,20,Male,hispanic,2016-11-26,Surprise,AZ,No known charges,Unclear,undetermined,car
3918,27,Male,hispanic,2017-05-12,Houston,TX,No known charges,Allegedly Armed,gun,not fleeing
8492,32,Male,hispanic,2013-02-19,Las Vegas,NV,No known charges,Allegedly Armed,gun,
8114,23,Male,hispanic,2013-06-16,Round Rock,TX,No known charges,Allegedly Armed,gun,
3921,,Male,hispanic,2017-05-11,Arlington,TX,No known charges,Allegedly Armed,gun,not fleeing
4006,36,Male,hispanic,2017-04-09,Santa Paula,CA,No known charges,Allegedly Armed,knife,not fleeing
8117,25,Male,hispanic,2013-06-15,Omaha,NE,No known charges,Allegedly Armed,gun,
4410,23,Male,hispanic,2016-11-28,Los Angeles,CA,No known charges,Allegedly Armed,gun,foot
4245,21,Male,hispanic,2017-01-23,Vallejo,CA,No known charges,Allegedly Armed,knife,not fleeing
4405,41,Male,hispanic,2016-11-30,Elk Grove,CA,No known charges,Unarmed,no object,foot
4403,27,Male,hispanic,2016-12-01,Tucson,AZ,No known charges,Allegedly Armed,gun,not fleeing
3926,15,Male,hispanic,2017-05-09,Bridgeport,CT,No known charges,Vehicle,vehicle,car
8133,43,Male,hispanic,2013-06-09,Meriden,CT,No known charges,Unclear,undetermined,
4252,33,Male,hispanic,2017-01-22,Carson,CA,No known charges,Allegedly Armed,gun,not fleeing
8225,21,Female,hispanic,2013-05-17,Uniondale,NY,No known charges,Unarmed,no object,
4395,38,Male,hispanic,2016-12-03,Metairie,LA,No known charges,Allegedly Armed,gun,foot
8233,52,Male,hispanic,2013-05-15,Hartford,CT,No known charges,Allegedly Armed,box cutter,
8170,38,Male,hispanic,2013-06-02,Dorchester,MA,No known charges,Allegedly Armed,gun,not fleeing
8171,34,Male,hispanic,2013-06-02,Gardena,CA,No known charges,Unarmed,no object,
4327,41,Male,hispanic,2016-12-27,North Riverside,IL,No known charges,Allegedly Armed,knife,not fleeing
8179,24,Male,hispanic,2013-05-30,Mesa,AZ,No known charges,Allegedly Armed,gun,
8181,26,Male,hispanic,2013-05-30,Santa Ana,CA,No known charges,Vehicle,vehicle,
8430,16,Male,hispanic,2013-03-13,Addison,TX,Charged,Unarmed,no object,
8201,47,Male,hispanic,2013-05-24,San Diego,CA,No known charges,Vehicle,vehicle,
8441,32,Male,hispanic,2013-03-10,Newark,NJ,No known charges,Allegedly Armed,gun,
4294,31,Male,hispanic,2017-01-07,Northglenn,CO,No known charges,Vehicle,vehicle,not fleeing
4315,23,Male,hispanic,2017-01-01,Houston,TX,No known charges,Allegedly Armed,gun,foot
3965,20,Male,hispanic,2017-04-25,Bellflower,CA,No known charges,Vehicle,vehicle,car
4311,38,Male,hispanic,2017-01-02,Chicago,IL,Charged,Unarmed,no object,not fleeing
4295,50,Male,hispanic,2017-01-07,Independence,MO,No known charges,Allegedly Armed,gun,not fleeing
8189,48,Male,hispanic,2013-05-26,New Rochelle,NY,No known charges,Allegedly Armed,knife,
8433,44,Male,hispanic,2013-03-12,Miami,FL,No known charges,Vehicle,vehicle,
8191,23,Male,hispanic,2013-05-26,Eden,TX,No known charges,Allegedly Armed,gun,
4305,18,Male,hispanic,2017-01-04,Brooklyn,NY,No known charges,Allegedly Armed,gun,foot
4298,38,Male,hispanic,2017-01-07,Albuquerque,NM,No known charges,Unarmed,no object,not fleeing
3970,52,Male,hispanic,2017-04-25,Fort Worth,TX,No known charges,Allegedly Armed,gun,not fleeing
8429,78,Male,hispanic,2013-03-13,Del Valle,TX,No known charges,Allegedly Armed,gun,
4360,33,Male,hispanic,2016-12-17,East Los Angeles,CA,No known charges,Allegedly Armed,gun,not fleeing
4333,33,Male,hispanic,2016-12-25,Desha,AR,No known charges,Allegedly Armed,gun,not fleeing
3981,55,Male,hispanic,2017-04-20,San Antonio,TX,No known charges,Allegedly Armed,knife,not fleeing
3948,20,Male,hispanic,2017-05-01,Austin,TX,No known charges,Allegedly Armed,gun,not fleeing
8217,29,Male,hispanic,2013-05-19,Eden,TX,No known charges,Allegedly Armed,gun,
4353,46,Male,hispanic,2016-12-20,Pharr,TX,No known charges,Allegedly Armed,knife,not fleeing
8461,32,Male,hispanic,2013-03-04,Portland,OR,No known charges,Allegedly Armed,gun,
8460,31,Male,hispanic,2013-03-04,San Antonio,TX,No known charges,Allegedly Armed,gun,
4350,21,Male,hispanic,2016-12-21,Stockton,CA,No known charges,Allegedly Armed,knife,not fleeing
8214,28,Male,hispanic,2013-05-20,Longview,TX,No known charges,Vehicle,vehicle,
3956,33,Male,hispanic,2017-04-29,Santa Fe,NM,No known charges,Vehicle,vehicle,not fleeing
4285,38,Male,hispanic,2017-01-11,Camden,NJ,No known charges,Allegedly Armed,gun,not fleeing
4346,38,Male,hispanic,2016-12-21,Reno,NV,No known charges,Vehicle,vehicle,car
8211,18,Male,hispanic,2013-05-21,Los Angeles,CA,No known charges,Allegedly Armed,gun,
4343,35,Male,hispanic,2016-12-23,Trona,CA,No known charges,Unarmed,no object,not fleeing
3985,25,Male,hispanic,2017-04-20,Glendale,AZ,No known charges,Vehicle,vehicle,car
3984,26,Male,hispanic,2017-04-20,Hardeeville,SC,No known charges,Allegedly Armed,gun,not fleeing
8453,27,Male,hispanic,2013-03-07,Sunnyside,WA,No known charges,Allegedly Armed,gun,
3959,25,Male,hispanic,2017-04-28,San Mateo,CA,No known charges,Allegedly Armed,gun,not fleeing
4342,34,Male,hispanic,2016-12-23,El Monte,CA,No known charges,Vehicle,vehicle,car
4289,30,Male,hispanic,2017-01-10,Columbus,GA,No known charges,Unarmed,no object,not fleeing
8028,42,Male,hispanic,2013-07-09,Yuma,AZ,No known charges,Allegedly Armed,gun,
4421,26,Male,hispanic,2016-11-25,Tucson,AZ,No known charges,Unarmed,no object,not fleeing
4016,19,Male,hispanic,2017-04-05,Goshen,IN,No known charges,Allegedly Armed,gun,car
8245,34,Male,hispanic,2013-05-11,Cudahy,CA,No known charges,Unclear,undetermined,
4496,55,Male,hispanic,2016-10-31,Chatsworth,CA,No known charges,Allegedly Armed,knife,not fleeing
4064,44,Male,hispanic,2017-03-17,Thornton,CO,No known charges,Unarmed,no object,foot
8541,32,Male,hispanic,2013-01-25,Houston,TX,No known charges,Allegedly Armed,knife,
8061,37,Male,hispanic,2013-07-02,Las Cruces,NM,No known charges,Allegedly Armed,gun,
3872,59,Male,hispanic,2017-05-26,San Rafael,NM,No known charges,Unarmed,no object,not fleeing
4490,49,Male,hispanic,2016-11-02,Bronx,NY,No known charges,Allegedly Armed,bottle,not fleeing
8388,25,Male,hispanic,2013-03-25,Rocky Face,GA,No known charges,Allegedly Armed,knife,
4221,45,Male,hispanic,2017-01-30,Fresno,CA,No known charges,Allegedly Armed,gun,not fleeing
4484,26,Male,hispanic,2016-11-04,Palm Springs,CA,No known charges,Unclear,undetermined,not fleeing
4223,18,Male,hispanic,2017-01-29,Santa Ana,CA,No known charges,Unarmed,no object,foot
8065,34,Male,hispanic,2013-06-30,Pacoima,CA,No known charges,Allegedly Armed,gun,
4472,33,Male,hispanic,2016-11-06,Santa Ana,CA,No known charges,Unclear,undetermined,not fleeing
3877,,Male,hispanic,2017-05-24,Compton,CA,No known charges,Allegedly Armed,gun,not fleeing
3881,21,Male,hispanic,2017-05-23,Phoenix,AZ,No known charges,Allegedly Armed,gun,other
8526,33,Male,hispanic,2013-01-30,­Fillmore,CA,No known charges,Allegedly Armed,gun,
8237,37,Male,hispanic,2013-05-14,Paramount,CA,No known charges,Unarmed,no object,
4500,23,Male,hispanic,2016-10-30,Corpus Christi,TX,No known charges,Allegedly Armed,gun,not fleeing
4469,23,Male,hispanic,2016-11-08,Denver,CO,No known charges,Allegedly Armed,gun,other
8054,53,Male,hispanic,2013-07-04,Gilford Township,MI,No known charges,Allegedly Armed,gun,
8251,49,Male,hispanic,2013-05-10,Eureka,MO,No known charges,Allegedly Armed,gun,
8030,40,Male,hispanic,2013-07-09,Belleville,NJ,No known charges,Allegedly Armed,knives,
3858,27,Male,hispanic,2017-06-01,Las Vegas,NV,No known charges,Allegedly Armed,gun,not fleeing
4528,28,Male,hispanic,2016-10-19,Henderson,NV,No known charges,Unclear,undetermined,car
4204,27,Male,hispanic,2017-02-03,Olympic Valley,CA,No known charges,Allegedly Armed,gun,car
4527,24,Male,hispanic,2016-10-19,Dallas,TX,No known charges,Allegedly Armed,gun,not fleeing
4206,26,Male,hispanic,2017-02-03,Forest Park,IL,No known charges,Vehicle,vehicle,car
8038,35,Male,hispanic,2013-07-07,Amarillo,TX,No known charges,Unarmed,toy weapon,
4212,18,Male,hispanic,2017-02-01,Wichita Falls,TX,No known charges,Allegedly Armed,gun,not fleeing
8376,46,Male,hispanic,2013-03-30,Delano,CA,No known charges,Allegedly Armed,box cutter,
3862,20,Male,hispanic,2017-05-29,Vacaville,CA,No known charges,Vehicle,vehicle,car
3865,,Male,hispanic,2017-05-28,San Jose,CA,No known charges,Allegedly Armed,ax,not fleeing
3866,21,Male,hispanic,2017-05-28,Miami Beach,FL,No known charges,Allegedly Armed,gun,car
8260,23,Male,hispanic,2013-05-07,Leesburg,FL,No known charges,Vehicle,vehicle,
8377,24,Male,hispanic,2013-03-30,Phoenix,AZ,No known charges,Allegedly Armed,gun,
8253,58,Male,hispanic,2013-05-09,Lake City,FL,No known charges,Allegedly Armed,gun,
3870,,Male,hispanic,2017-05-27,Austell,GA,No known charges,Allegedly Armed,gun,not fleeing
4509,24,Male,hispanic,2016-10-27,Elberton,GA,No known charges,Unclear,undetermined,foot
4503,21,Male,hispanic,2016-10-29,Van Horn,TX,No known charges,Allegedly Armed,knife,not fleeing
4242,29,Male,hispanic,2017-01-24,Las Cruces,NM,No known charges,Allegedly Armed,knife,foot
8070,62,Male,hispanic,2013-06-29,Miami,FL,No known charges,Allegedly Armed,knife,
3888,37,Male,hispanic,2017-05-21,Okeechobee,FL,No known charges,Unarmed,no object,not fleeing
8095,44,Male,hispanic,2013-06-19,Irving,TX,No known charges,Allegedly Armed,gun,
4039,35,Male,hispanic,2017-03-25,Boyle Heights,CA,No known charges,Allegedly Armed,gun,foot
4438,29,Male,hispanic,2016-11-19,Anaheim,CA,No known charges,Vehicle,vehicle,foot
4237,18,Male,hispanic,2017-01-24,Lancaster,PA,No known charges,Allegedly Armed,gun,not fleeing
3906,22,Male,hispanic,2017-05-15,Long Beach,CA,No known charges,Allegedly Armed,gun,car
4437,24,Male,hispanic,2016-11-20,San Antonio,TX,No known charges,Allegedly Armed,gun,not fleeing
4239,32,Male,hispanic,2017-01-24,Kuna,ID,No known charges,Allegedly Armed,gun,car
4240,34,Male,hispanic,2017-01-24,Atascadero,CA,No known charges,Allegedly Armed,gun,not fleeing
4432,45,Male,hispanic,2016-11-22,La Mirada,CA,No known charges,Allegedly Armed,gun,not fleeing
8502,23,Male,hispanic,2013-02-14,Indio,CA,No known charges,Unarmed,no object,
8500,29,Male,hispanic,2013-02-16,Tulsa,OK,No known charges,Unarmed,toy weapon,
8408,39,Male,hispanic,2013-03-19,Los Angeles,CA,No known charges,Unarmed,no object,
4020,46,Male,hispanic,2017-04-03,Pendleton,SC,No known charges,Vehicle,vehicle,not fleeing
4019,32,Male,hispanic,2017-04-04,Houston,TX,No known charges,Vehicle,vehicle,car
3910,41,Male,hispanic,2017-05-14,Kingman,AZ,No known charges,Allegedly Armed,gun,car
8499,42,Male,hispanic,2013-02-16,Grapevine,TX,No known charges,Allegedly Armed,sticks,
4017,47,Male,hispanic,2017-04-04,Bakersfield,CA,No known charges,Unarmed,no object,foot
4236,27,Male,hispanic,2017-01-24,Bakersfield,CA,No known charges,Allegedly Armed,gun,other
8525,30,Female,hispanic,2013-01-30,Denver,CO,No known charges,Allegedly Armed,gun,
3905,34,Male,hispanic,2017-05-15,Del Mar,CA,No known charges,Allegedly Armed,knife,foot
4041,26,Male,hispanic,2017-03-24,Cisco,TX,No known charges,Allegedly Armed,gun,foot
4466,45,Male,hispanic,2016-11-08,Azusa,CA,No known charges,Allegedly Armed,gun,not fleeing
4463,41,Male,hispanic,2016-11-10,San Angelo,TX,No known charges,Allegedly Armed,gun,
4226,25,Male,hispanic,2017-01-28,Fort Stockton,TX,No known charges,Allegedly Armed,gun,car
8516,33,Male,hispanic,2013-02-08,Las Vegas,NV,No known charges,Allegedly Armed,gun,
4461,33,Male,hispanic,2016-11-11,Boise,ID,No known charges,Allegedly Armed,gun,other
8514,22,Male,hispanic,2013-02-08,Visalia,CA,No known charges,Allegedly Armed,gun,
4228,25,Male,hispanic,2017-01-27,Alhambra,CA,No known charges,Allegedly Armed,gun,not fleeing
8086,35,Female,hispanic,2013-06-23,Santa Ana,CA,No known charges,Allegedly Armed,gun,
4456,29,Male,hispanic,2016-11-12,Sahuarita,AZ,No known charges,Allegedly Armed,gun,car
4043,24,Male,hispanic,2017-03-23,Phoenix,AZ,No known charges,Allegedly Armed,knife,not fleeing
8512,22,Male,hispanic,2013-02-09,Fort Worth,TX,No known charges,Vehicle,vehicle,
8090,24,Male,hispanic,2013-06-22,La Puente,CA,No known charges,Allegedly Armed,gun,
4455,22,Male,hispanic,2016-11-13,San Diego,CA,No known charges,Allegedly Armed,gun,not fleeing
3901,24,Male,hispanic,2017-05-16,Tustin,CA,No known charges,Allegedly Armed,gun,not fleeing
4453,21,Male,hispanic,2016-11-13,Oklahoma City,OK,No known charges,Allegedly Armed,gun,not fleeing
4231,28,Male,hispanic,2017-01-26,Charlotte,NC,No known charges,Allegedly Armed,gun,car
4447,37,Male,hispanic,2016-11-16,Whittier,CA,No known charges,Allegedly Armed,machete,not fleeing
8405,37,Male,hispanic,2013-03-19,Salt Lake City,UT,No known charges,Allegedly Armed,gun,
6600,27,Male,hispanic,2014-11-22,Seaside,CA,No known charges,Allegedly Armed,sharp object,
5158,25,Male,hispanic,2016-03-16,Apple Valley,CA,No known charges,Unclear,undetermined,not fleeing
4677,32,Male,hispanic,2016-08-25,Compton,CA,No known charges,Unclear,undetermined,not fleeing
6995,40,Male,hispanic,2014-07-10,Salinas,CA,No known charges,Unarmed,cell phone,
5991,24,Male,hispanic,2015-06-21,Azusa,CA,No known charges,Unarmed,no object,not fleeing
5989,35,Male,hispanic,2015-06-22,Citrus Heights,CA,No known charges,Allegedly Armed,gun,not fleeing
7009,14,Male,hispanic,2014-07-04,Chicago,IL,No known charges,Allegedly Armed,gun,
5978,28,Male,hispanic,2015-06-26,San Antonio,TX,No known charges,Allegedly Armed,gun,foot
7012,20,Male,hispanic,2014-07-03,Denver,CO,No known charges,Vehicle,vehicle ,
7013,40,Male,hispanic,2014-07-03,Fort Lauderdale,FL,No known charges,Allegedly Armed,gun,
5966,46,Male,hispanic,2015-07-03,Lancaster,CA,No known charges,Allegedly Armed,gun,not fleeing
5964,33,Male,hispanic,2015-07-03,Camden,NJ,No known charges,Allegedly Armed,gun,not fleeing
5963,27,Male,hispanic,2015-07-03,Rowland Heights,CA,No known charges,Allegedly Armed,knife,not fleeing
7015,32,Male,hispanic,2014-07-02,Denver,CO,No known charges,Allegedly Armed,gun,
5956,43,Male,hispanic,2015-07-05,Hawaiian Gardens,CA,No known charges,Unarmed,no object,not fleeing
5952,42,Male,hispanic,2015-07-06,Atwater,CA,No known charges,Allegedly Armed,knife,car
7019,23,Male,hispanic,2014-06-30,Seattle,WA,No known charges,Allegedly Armed,gun,
5946,39,Male,hispanic,2015-07-07,Edinburg,TX,No known charges,Allegedly Armed,gun,not fleeing
5941,47,Male,hispanic,2015-07-07,Bakersfield,CA,No known charges,Allegedly Armed,gun,not fleeing
7043,22,Male,hispanic,2014-06-21,Sacramento,CA,No known charges,Allegedly Armed,knife,
5864,34,Male,hispanic,2015-07-29,Las Cruces,NM,No known charges,Allegedly Armed,gun,foot
7080,31,Male,hispanic,2014-06-10,Colton,CA,No known charges,Allegedly Armed,gun,
7074,22,Male,hispanic,2014-06-11,Fresno,CA,No known charges,Allegedly Armed,knife,
5885,25,Male,hispanic,2015-07-22,Monroe,WI,No known charges,Allegedly Armed,gun,not fleeing
7068,17,Male,hispanic,2014-06-13,Fort Worth,TX,No known charges,Allegedly Armed,gun,
7064,21,Male,hispanic,2014-06-14,Greeley,CO,No known charges,Allegedly Armed,gun,
5997,50,Male,hispanic,2015-06-19,Greeley,CO,No known charges,Allegedly Armed,gun,not fleeing
5891,,Male,hispanic,2015-07-20,Houston,TX,No known charges,Allegedly Armed,gun,
5901,26,Male,hispanic,2015-07-18,Farmersville,CA,No known charges,Unarmed,no object,
5902,24,Male,hispanic,2015-07-17,Brownsville,TX,No known charges,Unclear,undetermined,other
7055,45,Male,hispanic,2014-06-19,San Antonio,TX,No known charges,Allegedly Armed,gun,
7054,17,Male,hispanic,2014-06-19,Miami,FL,No known charges,Vehicle,vehicle ,
5912,29,Male,hispanic,2015-07-16,Wauwatosa,WI,No known charges,Allegedly Armed,sword,not fleeing
5920,23,Male,hispanic,2015-07-13,Lynn,MA,No known charges,Vehicle,vehicle,not fleeing
5893,24,Male,hispanic,2015-07-20,Chicago,IL,No known charges,Unarmed,no object,
5998,44,Male,hispanic,2015-06-19,Boston,MA,No known charges,Allegedly Armed,knife,foot
6002,28,Male,hispanic,2015-06-16,Visalia,CA,No known charges,Allegedly Armed,gun,not fleeing
6007,28,Male,hispanic,2015-06-14,Stockton,CA,No known charges,Vehicle,vehicle,car
6076,22,Male,hispanic,2015-05-21,El Paso,TX,No known charges,Allegedly Armed,gun,not fleeing
6942,51,Male,hispanic,2014-07-29,Henderson,NV,No known charges,Allegedly Armed,knife,
6077,24,Male,hispanic,2015-05-21,Hackensack,NJ,No known charges,Allegedly Armed,knife,not fleeing
6931,54,Male,hispanic,2014-08-01,Pico Rivera,CA,No known charges,Unarmed,no object,
6085,54,Male,hispanic,2015-05-19,Arlington,VA,No known charges,Unarmed,no object,not fleeing
6929,37,Male,hispanic,2014-08-02,Los Angeles,CA,No known charges,Unarmed,no object,
6943,36,Male,hispanic,2014-07-29,Hedwig,TX,No known charges,Allegedly Armed,gun,
6928,28,Male,hispanic,2014-08-02,Pinetop,AZ,No known charges,Allegedly Armed,gun,
6926,24,Male,hispanic,2014-08-02,Pico Rivera,CA,No known charges,Allegedly Armed,gun,
6924,42,Female,hispanic,2014-08-03,Bakersfield,CA,No known charges,Unarmed,toy weapon,
6919,28,Male,hispanic,2014-08-04,Albuquerque,NM,No known charges,Vehicle,vehicle ,
6911,51,Male,hispanic,2014-08-06,Pearl City,HI,No known charges,Vehicle,vehicle ,
6118,44,Male,hispanic,2015-05-03,Albuquerque,NM,No known charges,Allegedly Armed,gun,not fleeing
6910,20,Male,hispanic,2014-08-07,Folsom,CA,No known charges,Allegedly Armed,knife,
6927,23,Male,hispanic,2014-08-02,Phoenix,AZ,No known charges,Allegedly Armed,gun,
5863,38,Male,hispanic,2015-07-30,Worcester,MA,No known charges,Unarmed,no object,
6953,33,Male,hispanic,2014-07-25,Van Nuys,CA,No known charges,Unclear,undetermined,
6051,39,Male,hispanic,2015-05-30,Nashville,TN,No known charges,Unarmed,toy weapon,not fleeing
6976,30,Male,hispanic,2014-07-16,Stockton,CA,No known charges,Unclear,undetermined,
6015,28,Male,hispanic,2015-06-11,San Antonio,TX,No known charges,Allegedly Armed,gun,not fleeing
6975,27,Male,hispanic,2014-07-16,Stockton,CA,No known charges,Unclear,undetermined,
6017,22,Male,hispanic,2015-06-11,Hackensack,NJ,No known charges,Allegedly Armed,knife,not fleeing
6027,51,Male,hispanic,2015-06-08,New York,NY,No known charges,Unclear,scissors,
6028,30,Male,hispanic,2015-06-08,Anaheim,CA,No known charges,Allegedly Armed,knife,not fleeing
6959,29,Male,hispanic,2014-07-22,La Joya,TX,No known charges,Allegedly Armed,gun,
6031,27,Male,hispanic,2015-06-06,Strasburg,CO,No known charges,Allegedly Armed,gun,car
6036,50,Male,hispanic,2015-06-05,Santa Maria,CA,No known charges,Allegedly Armed,gun,not fleeing
6967,41,Male,hispanic,2014-07-19,Chicago,IL,No known charges,Unarmed,no object,
6039,18,Male,hispanic,2015-06-03,Waxahachie,TX,No known charges,Allegedly Armed,gun,car
6040,33,Male,hispanic,2015-06-03,Houston,TX,No known charges,Allegedly Armed,knife,car
6041,36,Male,hispanic,2015-06-03,Los Lunas,NM,No known charges,Unarmed,no object,not fleeing
6043,46,Male,hispanic,2015-06-03,Delano,CA,No known charges,Allegedly Armed,gun,car
6032,45,Male,hispanic,2015-06-06,Pajaro,CA,No known charges,Allegedly Armed,gun,foot
7085,16,Male,hispanic,2014-06-08,Española,NM,No known charges,Unarmed,toy weapon,
5862,30,Male,hispanic,2015-07-30,Fort Worth,TX,No known charges,Allegedly Armed,gun,not fleeing
5859,47,Male,hispanic,2015-07-30,Whittier,CA,No known charges,Allegedly Armed,metal stick,not fleeing
5697,34,Male,hispanic,2015-09-21,Auburndale,FL,No known charges,Unarmed,Stapler,foot
5708,32,Male,hispanic,2015-09-15,Los Angeles,CA,No known charges,Allegedly Armed,gun,not fleeing
5710,39,Male,hispanic,2015-09-15,Los Angeles,CA,No known charges,Allegedly Armed,gun,not fleeing
5711,51,Male,hispanic,2015-09-15,Miami,FL,No known charges,Allegedly Armed,gun,car
7193,30,Male,hispanic,2014-05-07,Lubbock,TX,No known charges,Allegedly Armed,knives,
7190,48,Male,hispanic,2014-05-08,Las Vegas,NM,No known charges,Allegedly Armed,gun,
5692,24,Male,hispanic,2015-09-21,Dallas,TX,No known charges,Allegedly Armed,gun,not fleeing
5723,41,Male,hispanic,2015-09-10,Downey,CA,No known charges,Allegedly Armed,gun,car
7187,41,Male,hispanic,2014-05-08,Dotsero,CO,No known charges,Allegedly Armed,gun,
5725,35,Male,hispanic,2015-09-10,Fontana,CA,No known charges,Allegedly Armed,knife,not fleeing
7183,26,Male,hispanic,2014-05-09,Salinas,CA,No known charges,Allegedly Armed,knife,
5734,45,Male,hispanic,2015-09-07,Fresno,CA,No known charges,Allegedly Armed,metal pipe,foot
7181,59,Male,hispanic,2014-05-10,Ontario,CA,No known charges,Unclear,undetermined,
5738,59,Male,hispanic,2015-09-06,Miami,FL,No known charges,Allegedly Armed,gun,car
